Sentence,Word,Word Sequence,Hash
"The raven perched on the typewriter, tapping the keys as though it had a story to tell.",the,"[20, 8, 5]",77c61de7c383ab6db7be8d689bfbe7c7
"The raven perched on the typewriter, tapping the keys as though it had a story to tell.",raven,"[18, 1, 22, 5, 14]",d4d74b1b7bb99b64e0ac578de7303ccc
"The raven perched on the typewriter, tapping the keys as though it had a story to tell.",perched,"[16, 5, 18, 3, 8, 5, 4]",504ec9172c7b26a99031f5999556aeb1
"The raven perched on the typewriter, tapping the keys as though it had a story to tell.",on,"[15, 14]",5b067beb3fb3130e2800979af7769d5f
"The raven perched on the typewriter, tapping the keys as though it had a story to tell.","typewriter,","[20, 25, 16, 5, 23, 18, 9, 20, 5, 18]",d41ff915966d90f81704027afee22d72
"The raven perched on the typewriter, tapping the keys as though it had a story to tell.",tapping,"[20, 1, 16, 16, 9, 14, 7]",3b4924f70cb378cb38dbe863f0f989e1
"The raven perched on the typewriter, tapping the keys as though it had a story to tell.",keys,"[11, 5, 25, 19]",c2c86d24c610de1e3363bf9e2175127a
"The raven perched on the typewriter, tapping the keys as though it had a story to tell.",as,"[1, 19]",b6c966209aefddbbb416592d199fe7b6
"The raven perched on the typewriter, tapping the keys as though it had a story to tell.",though,"[20, 8, 15, 21, 7, 8]",a7e780769cb4fcdf3624bab1dbee473a
"The raven perched on the typewriter, tapping the keys as though it had a story to tell.",it,"[9, 20]",d83805ac2f2452ebf3f17a76c89571de
"The raven perched on the typewriter, tapping the keys as though it had a story to tell.",had,"[8, 1, 4]",5463bd024e7bf2dfd97d9449118178f5
"The raven perched on the typewriter, tapping the keys as though it had a story to tell.",a,[1],c4ca4238a0b923820dcc509a6f75849b
"The raven perched on the typewriter, tapping the keys as though it had a story to tell.",story,"[19, 20, 15, 18, 25]",5d6f40b799fbd0b96942985c62191ade
"The raven perched on the typewriter, tapping the keys as though it had a story to tell.",to,"[20, 15]",c270e031ca75d07a606c0443375f5848
"The raven perched on the typewriter, tapping the keys as though it had a story to tell.",tell.,"[20, 5, 12, 12]",5481adbb4ac2f231df87572e28557127
"Deep beneath the ocean, a glowing jellyfish led the submarine through a labyrinth of coral.",deep,"[4, 5, 5, 16]",7179d344f6e42ffe1c7748630fb43d2c
"Deep beneath the ocean, a glowing jellyfish led the submarine through a labyrinth of coral.",beneath,"[2, 5, 14, 5, 1, 20, 8]",e51f132d79f900605a2f57afffc33340
"Deep beneath the ocean, a glowing jellyfish led the submarine through a labyrinth of coral.",the,"[20, 8, 5]",77c61de7c383ab6db7be8d689bfbe7c7
"Deep beneath the ocean, a glowing jellyfish led the submarine through a labyrinth of coral.","ocean,","[15, 3, 5, 1, 14]",71203303ca77b70a7118b80b519af138
"Deep beneath the ocean, a glowing jellyfish led the submarine through a labyrinth of coral.",a,[1],c4ca4238a0b923820dcc509a6f75849b
"Deep beneath the ocean, a glowing jellyfish led the submarine through a labyrinth of coral.",glowing,"[7, 12, 15, 23, 9, 14, 7]",f89f64d9208201ec14ccf134907f377a
"Deep beneath the ocean, a glowing jellyfish led the submarine through a labyrinth of coral.",jellyfish,"[10, 5, 12, 12, 25, 6, 9, 19, 8]",a8cd3798f41661c6f4d61d9c8e585f7a
"Deep beneath the ocean, a glowing jellyfish led the submarine through a labyrinth of coral.",led,"[12, 5, 4]",3cf521831b991c1a9f8c56ed16df622d
"Deep beneath the ocean, a glowing jellyfish led the submarine through a labyrinth of coral.",submarine,"[19, 21, 2, 13, 1, 18, 9, 14, 5]",8501c8245780406f18cbfb02689a3c83
"Deep beneath the ocean, a glowing jellyfish led the submarine through a labyrinth of coral.",through,"[20, 8, 18, 15, 21, 7, 8]",f0b64b646080723dbac097694260a829
"Deep beneath the ocean, a glowing jellyfish led the submarine through a labyrinth of coral.",labyrinth,"[12, 1, 2, 25, 18, 9, 14, 20, 8]",9284c1e1fe6b9978224596f7bfaf9531
"Deep beneath the ocean, a glowing jellyfish led the submarine through a labyrinth of coral.",of,"[15, 6]",bb548305d15c3a2a16c310e51a1da878
"Deep beneath the ocean, a glowing jellyfish led the submarine through a labyrinth of coral.",coral.,"[3, 15, 18, 1, 12]",0d07340ef9ef26ac20d451afc2e0264d
The vending machine dispensed a gold coin instead of the usual soda.,the,"[20, 8, 5]",77c61de7c383ab6db7be8d689bfbe7c7
The vending machine dispensed a gold coin instead of the usual soda.,vending,"[22, 5, 14, 4, 9, 14, 7]",f3e59ad46007301cfc62c8c1347bab6e
The vending machine dispensed a gold coin instead of the usual soda.,machine,"[13, 1, 3, 8, 9, 14, 5]",aec9a6b8bef696e45b029bed51f81568
The vending machine dispensed a gold coin instead of the usual soda.,dispensed,"[4, 9, 19, 16, 5, 14, 19, 5, 4]",dd5eb3ffb4b5d90336e95ce794366537
The vending machine dispensed a gold coin instead of the usual soda.,a,[1],c4ca4238a0b923820dcc509a6f75849b
The vending machine dispensed a gold coin instead of the usual soda.,gold,"[7, 15, 12, 4]",694fffd11c635d4603d476145b3100dc
The vending machine dispensed a gold coin instead of the usual soda.,coin,"[3, 15, 9, 14]",77f08ddc7df809243590baed86148947
The vending machine dispensed a gold coin instead of the usual soda.,instead,"[9, 14, 19, 20, 5, 1, 4]",5391b379f6ebd0683e0c560b2c8677f3
The vending machine dispensed a gold coin instead of the usual soda.,of,"[15, 6]",bb548305d15c3a2a16c310e51a1da878
The vending machine dispensed a gold coin instead of the usual soda.,usual,"[21, 19, 21, 1, 12]",386f161ff4ceb798a3538966aa8e3f16
The vending machine dispensed a gold coin instead of the usual soda.,soda.,"[19, 15, 4, 1]",6dd6ccf5d0f8fb7f123a469e05b5a4d3
"On Mars, the first sunrise looked nothing like anyone had imagined.",on,"[15, 14]",5b067beb3fb3130e2800979af7769d5f
"On Mars, the first sunrise looked nothing like anyone had imagined.","mars,","[13, 1, 18, 19]",1084fea66c1daf5ff42902e0e4b2aeb5
"On Mars, the first sunrise looked nothing like anyone had imagined.",the,"[20, 8, 5]",77c61de7c383ab6db7be8d689bfbe7c7
"On Mars, the first sunrise looked nothing like anyone had imagined.",first,"[6, 9, 18, 19, 20]",fed0780525e9b1f8345d7b7727b8ab8d
"On Mars, the first sunrise looked nothing like anyone had imagined.",sunrise,"[19, 21, 14, 18, 9, 19, 5]",3396dfdd4d330aa45b243339104f1f77
"On Mars, the first sunrise looked nothing like anyone had imagined.",looked,"[12, 15, 15, 11, 5, 4]",cbedc3e051976daa2b43c030f3180920
"On Mars, the first sunrise looked nothing like anyone had imagined.",nothing,"[14, 15, 20, 8, 9, 14, 7]",7acc03d14c6b3fe56941b46cc40f50d1
"On Mars, the first sunrise looked nothing like anyone had imagined.",like,"[12, 9, 11, 5]",a825154e572f3141e03ac237786a7d9a
"On Mars, the first sunrise looked nothing like anyone had imagined.",anyone,"[1, 14, 25, 15, 14, 5]",478b3268c50e08081f3dca75b9599bac
"On Mars, the first sunrise looked nothing like anyone had imagined.",had,"[8, 1, 4]",5463bd024e7bf2dfd97d9449118178f5
"On Mars, the first sunrise looked nothing like anyone had imagined.",imagined.,"[9, 13, 1, 7, 9, 14, 5, 4]",83cacc64446cbbec77e74591120a226d
The chessboard rearranged itself every time someone looked away.,the,"[20, 8, 5]",77c61de7c383ab6db7be8d689bfbe7c7
The chessboard rearranged itself every time someone looked away.,chessboard,"[3, 8, 5, 19, 19, 2, 15, 1, 18, 4]",705d177737f1f94de0aa6d3179a48cff
The chessboard rearranged itself every time someone looked away.,rearranged,"[18, 5, 1, 18, 18, 1, 14, 7, 5, 4]",9fd4fe927f06fa0d189ffbbff147d4f4
The chessboard rearranged itself every time someone looked away.,itself,"[9, 20, 19, 5, 12, 6]",9ed4da72f83bb6aad37d119e5facf600
The chessboard rearranged itself every time someone looked away.,every,"[5, 22, 5, 18, 25]",d1efa70d31bb28c545ac33ecbbe48f09
The chessboard rearranged itself every time someone looked away.,time,"[20, 9, 13, 5]",e2b55b9a014551e2ef7cc8f8a44d6bf4
The chessboard rearranged itself every time someone looked away.,someone,"[19, 15, 13, 5, 15, 14, 5]",e5580a1efdf107601316c4a6115d90af
The chessboard rearranged itself every time someone looked away.,looked,"[12, 15, 15, 11, 5, 4]",cbedc3e051976daa2b43c030f3180920
The chessboard rearranged itself every time someone looked away.,away.,"[1, 23, 1, 25]",3e1fad3500b41f4ad1970fb07dd9f987
"A single snowflake landed on the dragon’s nose, making it sneeze flames.",a,[1],c4ca4238a0b923820dcc509a6f75849b
"A single snowflake landed on the dragon’s nose, making it sneeze flames.",single,"[19, 9, 14, 7, 12, 5]",3eed3d20242dace842fb4afda475dfeb
"A single snowflake landed on the dragon’s nose, making it sneeze flames.",snowflake,"[19, 14, 15, 23, 6, 12, 1, 11, 5]",c13a61c10bc93d4d1f7a09e0b285bf6a
"A single snowflake landed on the dragon’s nose, making it sneeze flames.",landed,"[12, 1, 14, 4, 5, 4]",ca926341d88493295be62d70d0f9420f
"A single snowflake landed on the dragon’s nose, making it sneeze flames.",on,"[15, 14]",5b067beb3fb3130e2800979af7769d5f
"A single snowflake landed on the dragon’s nose, making it sneeze flames.",the,"[20, 8, 5]",77c61de7c383ab6db7be8d689bfbe7c7
"A single snowflake landed on the dragon’s nose, making it sneeze flames.",dragon’s,"[4, 18, 1, 7, 15, 14, 19]",aeced33b88c377599bb0340c65ee4e12
"A single snowflake landed on the dragon’s nose, making it sneeze flames.","nose,","[14, 15, 19, 5]",3f2639bfb18f552a070ce5f46c6b8058
"A single snowflake landed on the dragon’s nose, making it sneeze flames.",making,"[13, 1, 11, 9, 14, 7]",2f60db8806563fc675efa5977a2c2daa
